----------------------------------------------------------------------
--------------N.I.N.A. - Nighttime Imaging 'N' Astronomy--------------
--------------------------Version 3.1.2.9001--------------------------
-------------------------2025-11-19T15:00:57--------------------------
----------------------------------------------------------------------
---------------------Microsoft Windows 10.0.26100---------------------
-------------------------OS Architecture X64--------------------------
-----------------------Process Architecture X64-----------------------
------------------------------.NET 8.0.8------------------------------
----------------------------------------------------------------------
--------------------------Processor Count 16--------------------------
--------------------Total Physical Memory 31.16 GB--------------------
----------------------------------------------------------------------
DATE|LEVEL|SOURCE|MEMBER|LINE|MESSAGE
2025-11-19T15:00:57.2644|INFO|CameraChooserVM.cs|GetEquipment|69|Found 0 ASI Cameras
2025-11-19T15:00:57.3288|INFO|CameraChooserVM.cs|GetEquipment|84|Found 0 Altair Cameras
2025-11-19T15:00:57.7514|INFO|CameraChooserVM.cs|GetEquipment|96|Found 0 Atik Cameras
2025-11-19T15:00:57.7518|INFO|CameraChooserVM.cs|GetEquipment|110|Found 0 FLI Cameras
2025-11-19T15:00:58.5313|INFO|ApplicationVM.cs|CheckDiskInfo|100|Available Space on Drive C:\: 57.69 GB
2025-11-19T15:00:58.5314|INFO|ApplicationVM.cs|CheckDiskInfo|100|Available Space on Drive D:\: 708.57 GB
2025-11-19T15:00:58.5315|INFO|ApplicationVM.cs|CheckDiskInfo|100|Available Space on Drive E:\: 267.18 GB
2025-11-19T15:00:58.5315|INFO|ApplicationVM.cs|CheckDiskInfo|100|Available Space on Drive F:\: 2381.86 GB
2025-11-19T15:00:58.5315|INFO|ApplicationVM.cs|CheckDiskInfo|100|Available Space on Drive G:\: 460.99 GB
2025-11-19T15:00:58.5335|INFO|ApplicationVM.cs|CheckASCOMPlatformVersion|81|ASCOM Platform 6.6.2.4294 installed
2025-11-19T15:00:58.7110|INFO|PluginLoader.cs|LoadPlugin|416|Successfully loaded plugin Fujifilm Native Camera version 2.1.0.0 by Scdouglas
2025-11-19T15:00:58.7803|INFO|CameraChooserVM.cs|GetEquipment|130|Found 0 QHYCCD Cameras
2025-11-19T15:00:58.8827|INFO|PluginLoader.cs|LoadPlugin|416|Successfully loaded plugin Hocus Focus version 3.0.0.18 by George Hilios (jokogeo)
2025-11-19T15:00:58.8846|INFO|CameraChooserVM.cs|GetEquipment|158|Found 0 ToupTek Cameras
2025-11-19T15:00:58.8960|INFO|CameraChooserVM.cs|GetEquipment|173|Found 0 Ogma Cameras
2025-11-19T15:00:58.9089|INFO|CameraChooserVM.cs|GetEquipment|188|Found 0 Omegon Cameras
2025-11-19T15:00:58.9095|INFO|PluginLoader.cs|LoadPlugin|416|Successfully loaded plugin Remote Copy version 3.0.0.0 by Tom Palmer @tcpalmer
2025-11-19T15:00:58.9129|INFO|PluginFetcher.cs|RequestAll|43|Fetching plugin manifests from https://nighttime-imaging.eu/wp-json/nina/v1/plugins/manifests
2025-11-19T15:00:59.0084|INFO|CameraChooserVM.cs|GetEquipment|203|Found 0 RisingCam Cameras
2025-11-19T15:00:59.0261|INFO|CameraChooserVM.cs|GetEquipment|218|Found 0 MallinCam Cameras
2025-11-19T15:00:59.0272|INFO|CameraChooserVM.cs|GetEquipment|244|Found 0 SBIG Cameras
2025-11-19T15:00:59.0357|INFO|CameraChooserVM.cs|GetEquipment|264|Found 0 SVBony Cameras
2025-11-19T15:00:59.0406|INFO|CameraChooserVM.cs|GetEquipment|264|Found 0 PlayerOne Cameras
2025-11-19T15:00:59.0477|INFO|CameraChooserVM.cs|GetEquipment|264|Found 0 ASTPAN Cameras
2025-11-19T15:00:59.3826|INFO|FocuserChooserVM.cs|GetEquipment|46|Found 0 Fujifilm Focuser Focusers
2025-11-19T15:00:59.7840|INFO|CameraChooserVM.cs|GetEquipment|264|Found 0 Fujifilm Cameras
2025-11-19T15:00:59.7848|INFO|CameraChooserVM.cs|GetEquipment|278|Found 4 ASCOM Cameras
2025-11-19T15:00:59.9675|INFO|PluginFetcher.cs|RequestAll|57|Found 61 valid plugins at https://nighttime-imaging.eu/wp-json/nina/v1/plugins/manifests
2025-11-19T15:01:00.9388|INFO|RotatorChooserVM.cs|GetEquipment|68|Found 0 Alpaca Rotators
2025-11-19T15:01:00.9390|INFO|DomeChooserVM.cs|GetEquipment|67|Found 0 Alpaca Domes
2025-11-19T15:01:00.9390|INFO|SafetyMonitorChooserVM.cs|GetEquipment|71|Found 0 Alpaca Safety Monitors
2025-11-19T15:01:00.9391|INFO|TelescopeChooserVM.cs|GetEquipment|69|Found 0 Alpaca Telescopes
2025-11-19T15:01:00.9392|INFO|WeatherDataChooserVM.cs|GetEquipment|69|Found 0 Alpaca Observing Conditions
2025-11-19T15:01:00.9388|INFO|FilterWheelChooserVM.cs|GetEquipment|193|Found 0 Alpaca Filter Wheels
2025-11-19T15:01:00.9388|INFO|SwitchChooserVM.cs|GetEquipment|71|Found 0 Alpaca Switch Hubs
2025-11-19T15:01:00.9388|INFO|FlatDeviceChooserVM.cs|GetEquipment|67|Found 0 Alpaca Cover Calibrators
2025-11-19T15:01:01.2541|INFO|ApplicationVM.cs|CheckDiskInfo|102|Drive Z:\ is not ready
2025-11-19T15:01:01.3914|INFO|FocuserChooserVM.cs|GetEquipment|67|Found 0 Alpaca Focusers
2025-11-19T15:01:01.7905|INFO|CameraChooserVM.cs|GetEquipment|290|Found 0 Alpaca Cameras
2025-11-19T15:01:01.7931|INFO|CameraChooserVM.cs|GetEquipment|303|Found 0 Canon Cameras
2025-11-19T15:01:06.4635|INFO|ApplicationDeviceConnectionVM.cs|UsbDeviceWatcher_DeviceInserted|173|New USB device detected DeviceId: USB\VID_04CB&PID_02E9\593536333431210210CB1010110497, PnpDeviceId: USB\VID_04CB&PID_02E9\593536333431210210CB1010110497, Description: GFX100S, Name: GFX100S, Manufacturer: FUJIFILM, Service: WUDFWpdMtp, Status: OK
2025-11-19T15:01:12.7490|INFO|CameraVM.cs|Disconnect|645|Disconnected Camera
2025-11-19T15:01:13.4098|INFO|CameraChooserVM.cs|GetEquipment|69|Found 0 ASI Cameras
2025-11-19T15:01:13.4150|INFO|CameraChooserVM.cs|GetEquipment|84|Found 0 Altair Cameras
2025-11-19T15:01:13.4298|INFO|CameraChooserVM.cs|GetEquipment|96|Found 0 Atik Cameras
2025-11-19T15:01:13.4301|INFO|CameraChooserVM.cs|GetEquipment|110|Found 0 FLI Cameras
2025-11-19T15:01:13.4303|INFO|CameraChooserVM.cs|GetEquipment|130|Found 0 QHYCCD Cameras
2025-11-19T15:01:13.4614|INFO|CameraChooserVM.cs|GetEquipment|158|Found 0 ToupTek Cameras
2025-11-19T15:01:13.4623|INFO|CameraChooserVM.cs|GetEquipment|173|Found 0 Ogma Cameras
2025-11-19T15:01:13.4641|INFO|CameraChooserVM.cs|GetEquipment|188|Found 0 Omegon Cameras
2025-11-19T15:01:13.4884|INFO|CameraChooserVM.cs|GetEquipment|203|Found 0 RisingCam Cameras
2025-11-19T15:01:13.4908|INFO|CameraChooserVM.cs|GetEquipment|218|Found 0 MallinCam Cameras
2025-11-19T15:01:13.4915|INFO|CameraChooserVM.cs|GetEquipment|244|Found 0 SBIG Cameras
2025-11-19T15:01:13.4917|INFO|CameraChooserVM.cs|GetEquipment|264|Found 0 SVBony Cameras
2025-11-19T15:01:13.4918|INFO|CameraChooserVM.cs|GetEquipment|264|Found 0 PlayerOne Cameras
2025-11-19T15:01:13.4921|INFO|CameraChooserVM.cs|GetEquipment|264|Found 0 ASTPAN Cameras
2025-11-19T15:01:13.5094|INFO|CameraChooserVM.cs|GetEquipment|264|Found 1 Fujifilm Cameras
2025-11-19T15:01:13.5099|INFO|CameraChooserVM.cs|GetEquipment|278|Found 4 ASCOM Cameras
2025-11-19T15:01:15.5109|INFO|CameraChooserVM.cs|GetEquipment|290|Found 0 Alpaca Cameras
2025-11-19T15:01:15.5117|INFO|CameraChooserVM.cs|GetEquipment|303|Found 0 Canon Cameras
2025-11-19T15:01:17.6724|INFO|CameraVM.cs|Disconnect|645|Disconnected Camera
2025-11-19T15:01:17.7125|ERROR|GenericCamera.cs|Connect|185
System.EntryPointNotFoundException: Unable to find an entry point named 'XSDK_SetDRange' in DLL 'XAPI.dll'.
   at NINA.Plugins.Fujifilm.Interop.FujifilmSdkWrapper.XSDK_SetDRange(IntPtr hCamera, Int32 lDRange)
   at NINA.Plugins.Fujifilm.Devices.FujiCamera.QuerySensitivityValues()
   at NINA.Plugins.Fujifilm.Devices.FujiCamera.CacheCapabilities()
   at NINA.Plugins.Fujifilm.Devices.FujiCamera.ConnectAsync(FujifilmCameraDescriptor descriptor, CancellationToken cancellationToken)
   at NINA.Plugins.Fujifilm.Devices.FujiCameraSdkAdapter.Connect()
   at NINA.Equipment.Equipment.MyCamera.GenericCamera.<Connect>b__85_0() in C:\Projects\nina\NINA.Equipment\Equipment\MyCamera\GenericCamera.cs:line 177
2025-11-19T15:01:20.3505|INFO|ApplicationVM.cs|Closing|288|Application shutting down
2025-11-19T15:01:20.3577|INFO|DomeVM.cs|Disconnect|336|Disconnected Dome Device
2025-11-19T15:01:20.3585|INFO|FlatDeviceVM.cs|Disconnect|279|Disconnected Flat Device
2025-11-19T15:01:20.3612|INFO|CameraVM.cs|Disconnect|645|Disconnected Camera
2025-11-19T15:01:20.3636|INFO|TelescopeVM.cs|Disconnect|763|Disconnected mount
2025-11-19T15:01:20.3641|INFO|FilterWheelVM.cs|Disconnect|324|Disconnected Filter Wheel
2025-11-19T15:01:20.3648|INFO|FocuserVM.cs|Disconnect|426|Disconnected Focuser
2025-11-19T15:01:20.3657|INFO|RotatorVM.cs|Disconnect|438|Disconnected Rotator
2025-11-19T15:01:20.3663|INFO|SwitchVM.cs|Disconnect|298|Disconnected Switch
2025-11-19T15:01:20.3669|INFO|WeatherDataVM.cs|Disconnect|292|Disconnected Weather Device
2025-11-19T15:01:20.3674|INFO|SafetyMonitorVM.cs|Disconnect|208|Disconnected Safety Monitor
